behavior_id,customer_id,log_date,website_visits,app_sessions,page_views,avg_session_duration
3654c3aa-4131-4d53-be2c-0d60f586f2ea,CUST001,2026-07-04,28,28,84,899.0
ae9171cf-5b46-45cf-a855-2bd663f6defd,CUST001,2026-07-03,28,28,112,879.0
8fef64bb-90e4-4b4b-8331-6c21a0cd5b02,CUST001,2026-07-18,28,28,56,309.0
44c8bfca-bf81-4f27-a106-66770a99a97b,CUST001,2026-06-30,28,28,56,738.0
b2bdca5a-7b62-422e-a9a0-9cd647643968,CUST001,2026-06-22,28,28,141,378.0
9e0e989f-2c61-4e1a-b02f-1fcd3b7d811b,CUST002,2026-06-21,3,3,10,37.0
e056115a-9e27-47a5-bc3d-e0d3a39eb237,CUST002,2026-07-10,3,3,10,56.0
eb7a3642-5bab-4e2b-b5f6-16a906074656,CUST002,2026-07-18,3,3,13,92.0
59954dfe-ae31-45aa-8b7e-191478e73cb7,CUST002,2026-06-19,3,3,10,30.0
1236900d-b003-4ce6-b65a-a3df56e73e13,CUST002,2026-07-02,3,3,17,46.0
d92b995c-8a72-428b-b1d5-033f2bfaba01,CUST003,2026-07-13,2,2,11,116.0
7d03e043-e33a-4606-9c49-a56a9130845e,CUST003,2026-06-21,2,2,4,88.0
45eae619-b03c-4a7b-aa18-476625629c4a,CUST003,2026-07-07,2,2,11,37.0
b73b80fc-35ad-402e-93fb-2c3073f071fe,CUST003,2026-07-11,2,2,4,70.0
7b244232-cb05-4d8d-ad73-0c477d6c3ca9,CUST003,2026-07-09,2,2,8,43.0
67b79940-e2b2-4f4b-adcb-f9b3ccc1d0e4,CUST004,2026-06-26,28,28,85,699.0
3c7294bb-7caa-4325-8acf-0e2abe5f62db,CUST004,2026-06-28,28,28,142,676.0
84c9b454-8370-4078-909a-5138c7bfe60d,CUST004,2026-07-05,28,28,56,570.0
1d4a5c2d-6fef-4ff1-8f24-b6edf8518c4f,CUST004,2026-06-26,28,28,142,448.0
fb519e4c-1f47-49df-876f-f7ccf92870c7,CUST004,2026-06-30,28,28,85,477.0
0c3193c4-0af5-44f7-95a3-3f65426c8e2b,CUST005,2026-06-30,35,35,70,589.0
f01114d6-13b1-46e3-9bea-d58da1e7fd84,CUST005,2026-06-21,35,35,176,567.0
5adbccd8-1446-47dd-b025-2f7499cd64d1,CUST005,2026-07-04,35,35,176,
86ecd8eb-4b06-43f1-aeb0-1c9d8637faf0,CUST005,2026-07-05,35,35,176,533.0
2105c196-b253-4e36-9dea-16d0218e8a97,CUST005,2026-07-08,35,35,105,369.0
cdf0b1fe-0da1-45c1-a0e8-b2df0b92aaa6,CUST006,2026-06-20,15,15,46,549.0
5ce18742-a3e3-4349-8b70-d8c9169dbc86,CUST006,2026-06-29,15,15,77,472.0
61e35c1b-78ff-48ad-a7bd-f61250648f1d,CUST006,2026-07-09,15,15,30,718.0
7f8f9bcf-e02f-4996-83a8-d83343cd8df6,CUST006,2026-06-30,15,15,46,446.0
a7364464-550e-4eea-95b2-838ecb30ac51,CUST006,2026-07-09,15,15,46,343.0
262b53c4-7752-467f-9921-4099a3d1eaca,CUST007,2026-06-24,21,21,85,473.0
f31cbcbe-150f-45d7-a871-f86f23d863c6,CUST007,2026-07-14,21,21,107,746.0
75a520a2-2938-446a-8125-cb5eb07775d0,CUST007,2026-07-07,21,21,85,502.0
f36c607d-c064-4695-85b4-0be55db13f80,CUST007,2026-06-29,21,21,64,685.0
7d2c7e4d-39c6-4acd-a866-e43f8957c69f,CUST007,2026-07-12,21,21,85,392.0
8d13f622-002e-4c6f-9b7d-5d514ca07a88,CUST008,2026-06-25,14,14,42,693.0
ba73a038-e84c-4c10-a691-7e7b0cb28918,CUST008,2026-06-27,14,14,28,609.0
87e204e2-bd86-4bf2-9c53-4db0c56c55d3,CUST008,2026-06-26,14,14,71,829.0
69f9268d-181b-4692-88fa-9fd2308866ca,CUST008,2026-07-01,14,14,42,377.0
0a1d1cc0-679d-44bf-98e0-09f9fd567e28,CUST008,2026-07-16,14,14,71,
6b803913-5a47-43f4-9dcf-855a9befc7a2,CUST009,2026-07-04,32,32,161,440.0
1a0f32a6-30eb-40f3-95f9-dfa392fa0fc4,CUST009,2026-07-12,32,32,128,704.0
8c35a60c-b751-4cfc-bdd9-b2ea83d1896a,CUST009,2026-07-11,32,32,96,427.0
1a053e71-b845-4f82-856b-aa18944f46e7,CUST009,2026-07-08,32,32,64,705.0
f5e88086-9729-4098-98a1-3a7042a533a7,CUST009,2026-06-28,32,32,128,517.0
4bf6cbb1-4d29-44a8-b464-80beaadf9c14,CUST010,2026-07-01,32,32,163,352.0
431056cd-eacd-4c74-882b-008c443013d8,CUST010,2026-07-01,32,32,97,808.0
73d52e34-5c52-4963-be2f-5b053fe3ba39,CUST010,2026-07-03,32,32,97,834.0
9c5625a5-c346-4f97-8da7-c835583ff0fd,CUST010,2026-07-18,32,32,65,842.0
7482d682-cf01-46b6-ac63-e82033850d57,CUST010,2026-07-04,32,32,130,432.0
a9728e88-837d-47bd-98ba-7170566e6a8f,CUST011,2026-06-20,24,24,49,529.0
9f07bd27-e468-4c28-a139-ed2e1f76e38d,CUST011,2026-07-07,24,24,123,549.0
eeb64dab-26f4-44f6-a972-4e9b4a7155f7,CUST011,2026-06-23,24,24,123,539.0
1c0f74d0-c1e8-4a03-96a2-2619ae0f9c1f,CUST011,2026-06-21,24,24,73,686.0
a42c9d71-8e11-48f2-a205-4f8b6de94430,CUST011,2026-06-20,24,24,98,331.0
fb659a8b-d00d-4aec-a5ee-72e591893562,CUST012,2026-06-23,25,25,128,395.0
89e62539-5c1f-4f80-a6b3-61bb671f5c88,CUST012,2026-07-18,25,25,76,397.0
2ad2182c-9e8c-47ad-b6f7-bcee35084e36,CUST012,2026-07-09,25,25,76,505.0
b1bb7f64-03bb-45bf-8b76-79ec4c885a61,CUST012,2026-07-11,25,25,51,671.0
c8c72035-043f-43da-8d1e-5f6a5d9325ab,CUST012,2026-06-23,25,25,102,305.0
f9e18843-df77-4e3f-a20c-6737b1a8e9d9,CUST013,2026-07-05,3,3,16,51.0
26114d2a-186f-42df-a1ac-d2b276273e62,CUST013,2026-07-05,3,3,12,
271b0c87-7663-40c4-ad98-486d22b8a47c,CUST013,2026-07-17,3,3,12,70.0
29f2dc98-7b7d-4a1f-89e7-b21564df9d63,CUST013,2026-07-05,3,3,6,108.0
40b07edb-9dca-4705-8d41-c120acf6e9b7,CUST013,2026-07-01,3,3,16,95.0
bd85f1f8-985f-47cf-bd2f-aa47357bad0f,CUST014,2026-07-03,2,2,13,49.0
01f2250f-0045-498c-ad34-57d825a62cd3,CUST014,2026-07-07,2,2,5,98.0
792d6c53-f08c-4429-aa42-d661f31105e9,CUST014,2026-07-07,2,2,5,
c9612f36-43c8-40bb-9bc9-8269a78f8137,CUST014,2026-07-04,2,2,10,111.0
18133627-156d-4a22-b934-be75904c8862,CUST014,2026-07-11,2,2,10,74.0
bd87523d-96aa-41a9-a4cc-259c865f072a,CUST015,2026-07-09,36,36,144,640.0
bd09ee42-2ae7-45ce-9e50-777a703ab067,CUST015,2026-06-27,36,36,144,454.0
c3dacda0-7b6d-4baa-b8c1-a736693ee78a,CUST015,2026-07-17,36,36,180,699.0
d2be03ed-036b-47a0-abc1-3045d4a3c22a,CUST015,2026-06-19,36,36,180,522.0
51d73844-d526-46f1-9fcc-6d4a4eece444,CUST015,2026-07-14,36,36,72,518.0
