ticket_id,customer_id,issue_date,resolution_date,category,severity,status,csat_score
2d1139b0-83a3-413f-bec8-444ec17dd70e,CUST002,2026-05-24,2026-07-14,Technical,High,Resolved,2
2d991bad-5c69-4217-b9fa-3cd7459c21c3,CUST002,2026-06-25,2026-07-17,Account,high,Resolved,2
d7bd9271-1d76-4783-ac67-e92d5609ad1a,CUST002,2026-06-02,2026-07-17,Technical,High,Resolved,2
0b414d01-faac-4ff5-9935-19bcb308dd17,CUST002,2026-06-15,2026-07-16,Billing,High,Resolved,1
8dd54648-bdc9-4185-b288-f84ee6dec631,CUST002,2026-05-09,2026-07-16,Billing,High,Resolved,3
26cfef0f-af0a-4fab-977e-a0ad639fe9f5,CUST003,2026-04-14,2026-07-19,Technical,High,Resolved,3
aa9efd05-ad91-49b9-8657-f5b37f5f1277,CUST003,2026-04-28,2026-07-18,Account,High,Resolved,2
cd8b281d-19a6-4daf-8f79-8de5e620b551,CUST003,2026-03-19,2026-07-15,Technical,High,Resolved,1
fe93f3ea-f9d0-4b10-a17e-d864c7043b00,CUST003,2026-05-09,2026-07-17,Technical,High,Resolved,2
1d01080c-55a7-4708-9658-f33ea5f6ac9a,CUST003,2026-03-20,2026-07-15,Account,High,Resolved,1
90662776-38af-4cf6-baef-39ffbffc7649,CUST003,2026-07-17,2026-07-18,Billing,High,Resolved,1
1d8fb6a5-569f-4b42-b29b-8671a962770f,CUST003,2026-03-15,2026-07-19,Technical, High ,Resolved,1
e501de13-2daa-4dbf-90f9-58d4cadcec82,CUST007,2026-04-12,2026-07-15,Account,Low,Resolved,5
cfee320f-fd4b-48a0-aed1-62135f5f7c17,CUST007,2026-03-14,2026-07-15,Technical,Low,Resolved,4
a69a3add-4502-46ff-b861-3c9172949054,CUST009,2026-03-21,2026-07-14,Technical,Low,Resolved,5
c408a51f-9e79-48f1-bbb1-01c7db5254d0,CUST011,2026-04-24,2026-07-16,Account,Medium,Resolved,4
ba5c8d69-8a73-4e57-b986-358f950ed3ba,CUST012,2026-01-21,2026-07-14,Account,Low,Resolved,5
dec57d4b-e2fc-45b1-a11e-607891d5dd4f, CUST012 ,2026-02-10,2026-07-17,Technical,medium,Resolved,4
aa28229f-4c24-4585-8608-0c7133fb8bdc,CUST013,2026-04-09,2026-07-16,Billing,High,Resolved,1
318da63b-eff0-4d89-83b3-bb05fc06f061,CUST013,2026-05-22,2026-07-15,Technical,High,Resolved,1
801d19c8-fbaa-4ed2-8d11-48372fc9e9b2,CUST013,2026-04-01,2026-07-16,Technical,High,Resolved,3
82aba800-72a3-4dd2-bfad-c0ee98f20db9,CUST013,2026-03-01,2026-07-18,Account,High,Resolved,2
a177f8d5-d174-4e09-93f8-b3e163bfc73d,CUST013,2026-05-01,2026-07-15,Technical,High,Resolved,2
0610487e-8e52-46dc-a49e-873bbefe236f,CUST013,2026-05-01,2026-07-14,Account,High,Resolved,3
c3a80756-366d-4a28-bf8d-4edc538e9824,CUST013,2026-01-27,2026-07-16,Technical,High,Resolved,1
0dd6257d-8950-44ea-afd2-793815a47b85,CUST013,2026-03-08,2026-07-17,Technical,High,Resolved,2
872934d6-f60f-4784-af0a-30e4619eaffc,CUST014,2026-02-06,2026-07-16,Technical,High,Resolved,2
afb6b364-83c6-4bb7-9a44-ac174f05eab5,CUST014,2026-05-18,2026-07-19,Account,High,Resolved,3
a73c5abe-69ab-46a1-8df0-8dd9ac1ed6c5,CUST014,2026-03-18,2026-07-19,Technical,High,Resolved,2
ff752dea-00cb-48cc-a88c-3c18f594fff8,CUST015,2026-05-10,2026-07-15,Account,Medium,Resolved,4
6d47f46d-d6b3-4c2b-8c27-ee1472a0076b,CUST015,2026-07-16,2026-07-16,Technical,Low,Resolved,5
53aa757c-e689-40b2-a9ea-e569e6fc7a45,CUST016,2026-06-18,2026-07-14,Billing,low,Resolved,5
eec5121a-efd9-42b6-a09a-711d13389d89,CUST017,2026-07-07,2026-07-17,Billing,Medium,Resolved,5
4b84edb8-ab6c-4521-99c9-9ee836d4feb7,CUST018,2026-05-02,2026-07-14,Technical,Medium,Resolved,4
0e3b7c0e-d4d8-4064-a2d2-2cebe40e64a4,CUST018,2026-05-30,2026-07-16,Account,Low,Resolved,4
ccb4f22a-6394-4f05-9078-fec285f50f36,CUST020,2026-03-04,2026-07-18,Account,High,Resolved,3
691883e0-e215-4c03-a564-488d3e4f62fe,CUST020,2026-07-09,2026-07-19,Technical, High ,Resolved,2
404ae513-3f96-4223-8e5a-888f47d5a6b7,CUST020,2026-06-01,,Account,High,Resolved,3
7ea50752-50f6-4623-828d-557a9150558e,CUST020,2026-05-27,2026-07-14,Billing,high,Resolved,3
c0274667-ba50-4649-9a61-a7d225874f76,CUST020,2026-03-19,2026-07-16,Account, High ,Resolved,3
89ae4806-05f1-4974-a4af-c2d4da510f8f,CUST020,2026-05-01,2026-07-14,Billing,High,Resolved,1
07b45093-e545-4343-b565-756001c26e68,CUST020,2026-07-12,2026-07-18,Account,High,Resolved,2
1806e88f-1fc5-4382-8e64-fe00493a892e,CUST021,2026-02-28,2026-07-17,Account,High,Resolved,3
9a500795-cfcc-4dd4-aa24-860585b8ce50,CUST021,2026-02-03,2026-07-14,Technical,High,Resolved,2
7b533fbc-0d7c-40a0-a929-7562d8f89426,CUST021,2026-03-19,2026-07-16,Technical,High,Resolved,3
3c584b89-2a29-47d4-a0fa-2d0bee34ff68,CUST021,2026-02-11,2026-07-16,Technical,High,Resolved,2
a22b8152-d693-4983-88d2-1bc474a7ab74,CUST021,2026-03-01,2026-07-19,Technical,High,Resolved,3
794174ed-f924-44bf-9a18-e27c46f627ed,CUST022,2026-03-02,2026-07-14,Billing,Medium,Resolved,5
1cd43d05-a0c0-44f2-8a53-5163841f3d24,CUST023,2026-04-01,2026-07-17,Billing,Medium,Resolved,4
8941551a-6896-4f12-ba4a-a5db680ad5fe,CUST025,2026-05-12,2026-07-17,Account,High,Resolved,3
8138e017-eb04-4afe-af56-fde9f561ca9e,CUST025,2026-03-28,2026-07-19,Billing,High,Resolved,1
c3258aaf-61d2-4f74-bbc5-df0f68f1fe02,CUST025,2026-04-25,2026-07-18,Billing,High,Resolved,1
a646b408-e6d4-4c75-a485-c928eef1b99c,CUST025,2026-04-29,2026-07-19,Account,High,Resolved,1
e6d5a4e1-82d0-44ce-a652-a8d85baf4c94,CUST026,2026-07-09,2026-07-15,Technical,High,Resolved,2
0a30aa43-e620-421a-a0f3-e1c6bb854c38,CUST026,2026-05-19,2026-07-19,Billing,High,Resolved,2
9449265b-a9b9-4d83-bc7d-55442d6a72ec,CUST026,2026-07-13,2026-07-16,Account,High,Resolved,2
4beba96c-2010-4936-9d90-d03a5ea3f6fc,CUST026,2026-02-02,,Technical,High,Resolved,1
6925b46f-4a37-4db3-9b08-22cc874307c1,CUST026,2026-07-04,2026-07-17,Billing,High,Resolved,2
73bdf18e-d6de-48ca-bc44-91bfe14dcf9e,CUST027,2026-06-08,2026-07-17,Billing,High,Resolved,2
fae8456b-7f7d-407d-95d0-ff1c58f564ff, CUST027 ,2026-05-30,2026-07-16,Technical,High,Resolved,3
a639489a-b838-4af0-a87f-05eacc7d82ba,CUST027,2026-02-17,2026-07-16,Billing,High,Resolved,2
5f1a32b0-353a-4965-b42c-a4c80d114477,CUST027,2026-04-21,2026-07-19,Billing,High,Resolved,1
9bbb1668-047d-4731-a268-ef0d20e4d6a3,CUST027,2026-05-07,2026-07-16,Account,High,Resolved,3
a0342d8a-9fb2-4669-897c-7436efdccc61,CUST028,2026-03-30,2026-07-18,Account,High,Resolved,1
d53727be-5717-4d38-8610-4e807a6e98ba,CUST028,2026-05-18,2026-07-14,Billing,High,Resolved,2
dcc127bd-3ebb-4039-b93a-6b1302ab6330,CUST028,2026-02-23,2026-07-18,Account,High,Resolved,2
e434a4ab-4364-4f7c-bd4e-227c2e455e8c,CUST028,2026-03-01,,Technical,High,Resolved,3
4861b0a6-86ce-49b1-bcd4-aba39d2f19ce,CUST028,2026-05-02,2026-07-14,Billing,High,Resolved,1
7e808377-c848-4104-8cdc-92dc3646f4fe,CUST028,2026-04-18,2026-07-16,Billing,High,Resolved,2
6c86cc68-dfbe-4dec-b59c-ec6f4015049f,CUST029,2026-06-16,2026-07-18,Billing,Medium,Resolved,4
9638f253-f4af-45d0-8ac7-73a3567e309b,CUST029,2026-07-04,2026-07-19,Account,Low,Resolved,5
2f6ad4f1-c269-4333-8441-5d36f75ba6c6,CUST030,2026-07-01,2026-07-16,Technical,Medium,Resolved,4
49d471fb-c796-44b3-8834-a9ee29d39372,CUST031,2026-03-21,2026-07-19,Account,High,Resolved,2
c08062ff-25e4-496a-a980-be5911560396,CUST031,2026-01-26,2026-07-15,Billing,High,Resolved,3
82fe7601-12ed-4a47-b82f-673ead799826,CUST031,2026-01-30,2026-07-19,Account,high,Resolved,3
91424074-8160-49bf-96c2-b2aca19ac4a3,CUST031,2026-01-23,2026-07-16,Account,High,Resolved,2
98085d89-8983-4163-aaac-4dec3072998a,CUST031,2026-06-10,2026-07-15,Technical,High,Resolved,1
534494db-46df-4726-9ac6-59129b60f95e,CUST031,2026-03-01,2026-07-19,Billing,High,Resolved,3
006b6fbd-1c12-4576-8539-817fa49c6d72,CUST031,2026-02-18,2026-07-14,Billing,High,Resolved,3
b9018945-b766-4b91-a3bf-d9c2ec83e9c4,CUST031,2026-02-19,2026-07-16,Account,High,Resolved,2
824682ae-bd67-4f3c-a774-d482a882e95a,CUST032,2026-04-01,2026-07-17,Technical,High,Resolved,2
968bea10-0b1b-4152-831c-3536271d241a,CUST032,2026-04-22,,Technical,high,Resolved,2
f6500878-3b43-45da-94c5-d25eb147e6b7,CUST032,2026-06-21,2026-07-15,Technical,High,Resolved,1
85fdb734-37b1-43ba-9aa9-b72ab3a7d7e1,CUST035,2026-04-09,2026-07-16,Technical,High,Resolved,2
8f4da694-779c-4a3e-b1a3-2f7c525076ba,CUST035,2026-05-15,2026-07-15,Technical,High,Resolved,2
410d8a8b-3c9c-4234-bfd2-68cac0fdbf37, CUST035 ,2026-05-26,2026-07-18,Account,High,Resolved,2
a9ad21a7-31a8-4cbd-8a19-343b279a69c1,CUST035,2026-04-30,2026-07-14,Account,High,Resolved,3
5aaaa867-9542-47d7-a403-c7775980b25a,CUST035,2026-07-12,2026-07-14,Billing,High,Resolved,3
6f31b44b-043d-45c8-8528-f6640a507bf0,CUST035,2026-06-15,2026-07-18,Technical,High,Resolved,3
6c5f6230-d4fe-4b7d-bb7f-e235501c8e32,CUST035,2026-06-13,2026-07-18,Account,High,Resolved,3
ccb93483-2a65-42f6-90aa-35138d5e3cde,CUST037,2026-01-27,2026-07-16,Account,High,Resolved,3
cbfd5e73-8e9b-4814-811d-69f23d07500e,CUST037,2026-04-29,2026-07-15,Account,High,Resolved,3
f5516dac-cfff-4e0a-8f68-ae97e3433a61,CUST037,2026-05-05,2026-07-17,Billing,High,Resolved,3
fde91e96-76de-4cee-b328-527bc0aef67f,CUST037,2026-02-18,2026-07-17,Billing,High,Resolved,1
7e567aa3-8bcc-4ffc-b4d3-eca98190348f,CUST037,2026-07-08,2026-07-17,Billing,High,Resolved,3
0f9df899-cf53-4388-99bf-6a29015b805e,CUST038,2026-07-16,2026-07-14,Technical,Low,Resolved,5
b3afc41a-5726-48a7-af85-276855703f79,CUST038,2026-06-01,2026-07-14,Account,Medium,Resolved,4
ff474229-1c69-4a06-b924-88f0bbb94399,CUST040,2026-02-18,2026-07-18,Technical,Medium,Resolved,5
df43e308-a78e-4075-96c3-3e489cd1ff39,CUST040,2026-05-03,2026-07-16,Technical,Medium,Resolved,5
f70b6cff-6eb7-4650-bc46-22f0e28d2488,CUST041,2026-02-26,2026-07-19,Technical,Medium,Resolved,4
cf18467d-b548-488b-a991-9f7cb3469ca4, CUST041 ,2026-02-04,2026-07-17,Technical,Low,Resolved,5
872e81f6-2e9f-42ed-9f79-579c98b1013b,CUST042,2026-02-27,2026-07-14,Technical,High,Resolved,2
95fd7534-48c4-41e3-99cb-367e1c436b7b,CUST042,2026-04-03,,Account,High,Resolved,3
0aa99c18-7f7f-4c7c-8e49-e356841c02b3,CUST042,2026-04-07,2026-07-18,Account,High,Resolved,3
cf878dd5-6357-40c8-94d8-c86abbd4a625, CUST042 ,2026-04-29,2026-07-18,Account,High,Resolved,3
569c49bc-c1e6-4f3a-b2e1-6cbf9e9a0359,CUST042,2026-05-29,2026-07-16,Technical,High,Resolved,2
eb108386-0092-444b-8b2f-1693a2434607,CUST042,2026-02-07,2026-07-15,Account,High,Resolved,1
57573f24-7f3a-4cad-a4e6-0c8ab6afe637,CUST042,2026-02-24,2026-07-17,Technical,High,Resolved,3
657d46ee-4296-4907-9aa6-1544ca8bd2a5,CUST042,2026-03-20,2026-07-14,Billing,High,Resolved,2
0c186417-add4-433f-b05c-14dd649ad3ea,CUST043,2026-03-06,2026-07-14,Billing,High,Resolved,3
