transaction_id,customer_id,product_id,transaction_date,amount,quantity,payment_method,status
6af9a08c-c947-41e1-b76b-79f12f200fff,CUST001,PROD005,2026-01-23,158.38,1,PayPal,Completed
4f075833-527a-4559-9bc9-bb513fb3b8ef,cust001,PROD002,2026-07-10,$204.84,1,Credit Card,Completed
798beef9-e01c-4364-b10e-89468fe7bf76,CUST001,PROD008,2026-01-31,237.46,2,Credit Card,Completed
483ac303-9ac1-4f72-b2fd-36cc733fdf0e,CUST001,PROD002,2026-01-27,,3,   CrEdIt CaRd   ,Completed
3a4f0822-5f8e-4b40-8e55-7b4d1fcf2f10,CUST001,PROD009,2026-05-06,,2,Credit Card,Completed
93eba232-7ea5-40aa-a9d1-e48a7991ae06,CUST001,PROD006,2026-05-30,280.01,3,Credit Card,Completed
5b0732c7-ceae-40a8-8b3b-69d7833d7810,CUST001,PROD005,2026-02-09,158.38,1,   CrEdIt CaRd   ,Completed
1b74e3f8-e147-4fb1-8e7c-e40cd4192151,CUST001,PROD009,2026-06-21,,1,   CrEdIt CaRd   ,Completed
b29dea18-11ae-426f-9365-94f84f065c37,CUST001,PROD003,2026-01-30,352.06,1,Bank Transfer,Completed
a940a6cf-3163-4688-8ecd-efaa31952004,CUST001,PROD001,2026-06-18,,1,   CrEdIt CaRd   ,Completed
cdd397b2-46d1-426e-b60c-9c3f72a5f041,CUST001,PROD002,2026-05-30,204.84,2,Credit Card,Completed
292a394b-c065-4bde-b743-295e1b4c9c0f,CUST001,PROD008,2026-01-20,237.46,3,PayPal,Completed
21db4840-8909-48e9-a8b0-4adfb728b4fc,CUST001,PROD005,2026-02-24,158.38,2,Credit Card,Completed
b7667d8f-31dd-405a-9d5e-152debce72f6,cust001,PROD001,2026-02-18,90.71,1,Bank Transfer,Completed
213095e6-6877-4435-93c0-3bbc985ea302,CUST001,PROD008,2026-07-01,237.46,,   CrEdIt CaRd   ,Completed
cec0365a-5746-4620-b4c7-dfb09e3bebfc,CUST001,PROD007,2026-04-24,181.57,1,PayPal,Completed
